"","subject","IP_LABEL","IA_LABEL","trial","condition","condition_trial","motion","stimulus","session","IA_DWELL_TIME","TRIAL_DWELL_TIME","IP_DURATION","Breed","sex","neutered","age"
"131","subj.11","end_IP","end_position",3,"F-C","F-C _ 3","constant","fur",4,0,3002,3002,"Mix","f","yes",41
"132","subj.12","end_IP","end_position",1,"F-C","F-C _ 1","constant","fur",1,2991,2991,3002,"Border Collie","f","no",19
"133","subj.12","end_IP","end_position",2,"F-C","F-C _ 2","constant","fur",1,2028,2915,3002,"Border Collie","f","no",19
"134","subj.12","end_IP","end_position",3,"F-C","F-C _ 3","constant","fur",1,0,2724,3001,"Border Collie","f","no",19
"135","subj.12","end_IP","end_position",1,"F-V","F-V _ 1","variable","fur",2,2659,2936,3032,"Border Collie","f","no",19
"136","subj.12","end_IP","end_position",2,"F-V","F-V _ 2","variable","fur",2,2152,2862,3031,"Border Collie","f","no",19
"137","subj.12","end_IP","end_position",3,"F-V","F-V _ 3","variable","fur",2,0,2892,3002,"Border Collie","f","no",19
"138","subj.12","end_IP","end_position",1,"B-V","B-V _ 1","variable","ball",3,2592,2902,3003,"Border Collie","f","no",19
"139","subj.12","end_IP","end_position",2,"B-V","B-V _ 2","variable","ball",3,2418,2901,3031,"Border Collie","f","no",19
"140","subj.12","end_IP","end_position",3,"B-V","B-V _ 3","variable","ball",3,1125,2811,3002,"Border Collie","f","no",19
"141","subj.12","end_IP","end_position",1,"B-C","B-C _ 1","constant","ball",4,2806,2978,3029,"Border Collie","f","no",19
"142","subj.12","end_IP","end_position",2,"B-C","B-C _ 2","constant","ball",4,2684,2919,3007,"Border Collie","f","no",19
"143","subj.12","end_IP","end_position",3,"B-C","B-C _ 3","constant","ball",4,1065,2701,3002,"Border Collie","f","no",19
"144","subj.13","end_IP","end_position",1,"B-V","B-V _ 1","variable","ball",1,3004,3004,3028,"Mix","m","yes",63
"145","subj.13","end_IP","end_position",2,"B-V","B-V _ 2","variable","ball",1,2784,2946,3027,"Mix","m","yes",63
"146","subj.13","end_IP","end_position",3,"B-V","B-V _ 3","variable","ball",1,2948,2948,3007,"Mix","m","yes",63
"147","subj.13","end_IP","end_position",1,"B-C","B-C _ 1","constant","ball",2,3003,3003,3003,"Mix","m","yes",63
"148","subj.13","end_IP","end_position",2,"B-C","B-C _ 2","constant","ball",2,0,3002,3002,"Mix","m","yes",63
"149","subj.13","end_IP","end_position",3,"B-C","B-C _ 3","constant","ball",2,0,3002,3002,"Mix","m","yes",63
"150","subj.13","end_IP","end_position",1,"F-V","F-V _ 1","variable","fur",3,2985,2985,3000,"Mix","m","yes",63
"151","subj.13","end_IP","end_position",2,"F-V","F-V _ 2","variable","fur",3,3027,3027,3027,"Mix","m","yes",63
"152","subj.13","end_IP","end_position",3,"F-V","F-V _ 3","variable","fur",3,2997,2997,2997,"Mix","m","yes",63
"153","subj.13","end_IP","end_position",1,"F-C","F-C _ 1","constant","fur",4,3031,3031,3031,"Mix","m","yes",63
"154","subj.13","end_IP","end_position",2,"F-C","F-C _ 2","constant","fur",4,2981,2981,3003,"Mix","m","yes",63
"155","subj.13","end_IP","end_position",3,"F-C","F-C _ 3","constant","fur",4,3003,3003,3003,"Mix","m","yes",63
"156","subj.14","end_IP","end_position",1,"F-C","F-C _ 1","constant","fur",1,3003,3003,3003,"Labrador Retriever","f","yes",29
"157","subj.14","end_IP","end_position",2,"F-C","F-C _ 2","constant","fur",1,2707,2927,3031,"Labrador Retriever","f","yes",29
"158","subj.14","end_IP","end_position",3,"F-C","F-C _ 3","constant","fur",1,3031,3031,3031,"Labrador Retriever","f","yes",29
"159","subj.14","end_IP","end_position",1,"F-V","F-V _ 1","variable","fur",2,2983,2983,3002,"Labrador Retriever","f","yes",29
"160","subj.14","end_IP","end_position",2,"F-V","F-V _ 2","variable","fur",2,2981,2981,3002,"Labrador Retriever","f","yes",29
"161","subj.14","end_IP","end_position",3,"F-V","F-V _ 3","variable","fur",2,2752,2894,3002,"Labrador Retriever","f","yes",29
"162","subj.14","end_IP","end_position",1,"B-V","B-V _ 1","variable","ball",3,2978,2978,3001,"Labrador Retriever","f","yes",29
"163","subj.14","end_IP","end_position",2,"B-V","B-V _ 2","variable","ball",3,3002,3002,3002,"Labrador Retriever","f","yes",29
"164","subj.14","end_IP","end_position",3,"B-V","B-V _ 3","variable","ball",3,2379,2966,3031,"Labrador Retriever","f","yes",29
"165","subj.14","end_IP","end_position",1,"B-C","B-C _ 1","constant","ball",4,0,3030,3030,"Labrador Retriever","f","yes",29
"166","subj.14","end_IP","end_position",2,"B-C","B-C _ 2","constant","ball",4,2674,2953,3030,"Labrador Retriever","f","yes",29
"167","subj.14","end_IP","end_position",3,"B-C","B-C _ 3","constant","ball",4,0,3029,3029,"Labrador Retriever","f","yes",29
"168","subj.15","end_IP","end_position",1,"F-C","F-C _ 1","constant","fur",1,3002,3002,3002,"Mix","m","no",24
"169","subj.15","end_IP","end_position",2,"F-C","F-C _ 2","constant","fur",1,2962,2969,3001,"Mix","m","no",24
"170","subj.15","end_IP","end_position",3,"F-C","F-C _ 3","constant","fur",1,3002,3002,3002,"Mix","m","no",24
"171","subj.15","end_IP","end_position",1,"F-V","F-V _ 1","variable","fur",2,2904,2933,3006,"Mix","m","no",24
