"","subject","trial","condition","motion","stimulus","session","AVERAGE_FIXATION_DURATION","AVERAGE_SACCADE_AMPLITUDE","FIXATION_COUNT","PUPIL_SIZE_MAX","SACCADE_COUNT","Breed","sex","neutered","age","stimuli_first","motion_first"
"132","subj.11",3,"F-C","C","F",4,1445.92,7.03,12,3746,11,"Mix","f","yes",41,"ball","constant"
"133","subj.12",1,"F-C","C","F",1,817.32,5.5,22,4500,21,"Border Collie","f","no",19,"fur","constant"
"134","subj.12",2,"F-C","C","F",1,1045.35,11.88,17,5116,16,"Border Collie","f","no",19,"fur","constant"
"135","subj.12",3,"F-C","C","F",1,670.27,8.7,26,4647,25,"Border Collie","f","no",19,"fur","constant"
"136","subj.12",1,"F-V","V","F",2,561.48,5.8,31,4488,30,"Border Collie","f","no",19,"fur","constant"
"137","subj.12",2,"F-V","V","F",2,1059.29,7.13,17,4351,16,"Border Collie","f","no",19,"fur","constant"
"138","subj.12",3,"F-V","V","F",2,1186.73,13.73,15,5649,14,"Border Collie","f","no",19,"fur","constant"
"139","subj.12",1,"B-V","V","B",3,642,3.34,28,3469,27,"Border Collie","f","no",19,"fur","constant"
"140","subj.12",2,"B-V","V","B",3,669.96,5.12,26,4211,26,"Border Collie","f","no",19,"fur","constant"
"141","subj.12",3,"B-V","V","B",3,705.16,7.09,25,4984,24,"Border Collie","f","no",19,"fur","constant"
"142","subj.12",1,"B-C","C","B",4,596.4,4.38,30,3806,29,"Border Collie","f","no",19,"fur","constant"
"143","subj.12",2,"B-C","C","B",4,922.68,9.06,19,6012,18,"Border Collie","f","no",19,"fur","constant"
"144","subj.12",3,"B-C","C","B",4,879.65,10.86,20,6504,19,"Border Collie","f","no",19,"fur","constant"
"145","subj.13",1,"B-V","V","B",1,684.73,5.62,26,10220,25,"Mix","m","yes",63,"ball","variable"
"146","subj.13",2,"B-V","V","B",1,989.33,7.1,18,10131,17,"Mix","m","yes",63,"ball","variable"
"147","subj.13",3,"B-V","V","B",1,702.76,5.25,25,11361,24,"Mix","m","yes",63,"ball","variable"
"148","subj.13",1,"B-C","C","B",2,766.78,5.31,23,9775,22,"Mix","m","yes",63,"ball","variable"
"149","subj.13",2,"B-C","C","B",2,730.75,5.15,24,10027,23,"Mix","m","yes",63,"ball","variable"
"150","subj.13",3,"B-C","C","B",2,752.96,4.29,24,10108,23,"Mix","m","yes",63,"ball","variable"
"151","subj.13",1,"F-V","V","F",3,592.33,4.23,30,8454,29,"Mix","m","yes",63,"ball","variable"
"152","subj.13",2,"F-V","V","F",3,718.56,3.68,25,9479,24,"Mix","m","yes",63,"ball","variable"
"153","subj.13",3,"F-V","V","F",3,711.56,4.91,25,9652,24,"Mix","m","yes",63,"ball","variable"
"154","subj.13",1,"F-C","C","F",4,688.46,4.4,26,6512,25,"Mix","m","yes",63,"ball","variable"
"155","subj.13",2,"F-C","C","F",4,724.29,5.24,24,7237,23,"Mix","m","yes",63,"ball","variable"
"156","subj.13",3,"F-C","C","F",4,771.78,5.02,23,9364,22,"Mix","m","yes",63,"ball","variable"
"157","subj.14",1,"F-C","C","F",1,552.58,2.1,33,7522,32,"Labrador Retriever","f","yes",29,"fur","constant"
